Genome	Color	Family
KY653117	#3457A9	Siphoviridae
MZ333458	#3457A9	Siphoviridae
MZ333457	#3457A9	Siphoviridae
MZ333456	#3457A9	Siphoviridae
CP060690	#7EF23B	Podoviridae
MK203850	#7EF23B	Podoviridae
LC644557	#EAD453	Rountreeviridae
MZ398248	#59520F	Myoviridae
MZ398247	#8B4FE0	Autographiviridae
MZ398246	#39F0F4	Demerecviridae
MZ398245	#59520F	Myoviridae
MZ398244	#8B4FE0	Autographiviridae
MZ398243	#7EF23B	Podoviridae
MZ398242	#3835C7	Drexlerviridae
MZ398241	#3457A9	Siphoviridae
